Sector,Symbol,Exchange,Ltp,%Change,Volume
,AFCONS,NSE,439.80,3.52,40284
Communication Services,BHARTIARTL,NSE,1936.70,3.18,39001
,BHARTIHEXA,NSE,1819.20,4.03,1278
Financials,CHOLAHLDNG,NSE,2027.60,2.7,6142
Industrials,POWERINDIA,NSE,18684.00,1.56,985
Financials,HOMEFIRST,NSE,1292.80,0.26,2699
Communication Services,INDUSTOWER,NSE,404.30,3.76,35982
,KFINTECH,NSE,1272.50,6.22,19418
Financials,KOTAKBANK,NSE,2169.80,1.09,11160
Financials,MANAPPURAM,NSE,271.45,2.98,100807
Information Technology,PERSISTENT,NSE,6106.50,3.53,2352
Energy,RELIANCE,NSE,1466.20,2.3,261516
,SAILIFE,NSE,765.25,5.11,41091
,SWIGGY,NSE,389.50,4.1,354022
Consumer Discretionary,TRENT,NSE,5897.50,3.04,119902
,WAAREEENER,NSE,2989.00,11.9,92132
